name,price,link,category,brand
mirage mythos zeus dolma kalem kp07-09-fp,9400,https://www.alwaysfashion.com/tr/visconti-mirage-mythos-zeus-dolma-kalem-kp07-09-fp,Fountain Pen,Visconti
mirage mythos apollo dolma kalem kp07-08-fp,9870,https://www.alwaysfashion.com/tr/visconti-mirage-mythos-apollo-dolma-kalem-kp07-08-fp,Fountain Pen,Visconti
kalemlik - 1 bölmeli kl40-01,5038,https://www.alwaysfashion.com/tr/visconti-kalemlik-1-bolmeli-kl40-01,Other,Visconti
kalemlik - 2 bölmeli kl40-02,5983,https://www.alwaysfashion.com/tr/visconti-kalemlik-2-bolmeli-kl40-02,Other,Visconti
kalemlik - 3 bölmeli kl40-03,7242,https://www.alwaysfashion.com/tr/visconti-kalemlik-3-bolmeli-kl40-03,Other,Visconti
kalemlik - 6 bölmeli kl40-06,8502,https://www.alwaysfashion.com/tr/visconti-kalemlik-6-bolmeli-kl40-06,Other,Visconti
kalemlik - 12 bölmeli kl40-12,11021,https://www.alwaysfashion.com/tr/visconti-kalemlik-12-bolmeli-kl40-12,Other,Visconti
comedia dolma kalem - f uç kp15-50-fp,10810,https://www.alwaysfashion.com/tr/visconti-comedia-dolma-kalem-f-uc-kp15-50-fp,Fountain Pen,Visconti
van gogh wheatfield with crows tükenmez kalem kp12-12-bp,10810,https://www.alwaysfashion.com/tr/visconti-van-gogh-wheatfield-with-crows-tukenmez-kalem-kp12-12-bp,Ballpoint Pen,Visconti
van gogh potato eaters dolma kalem kp12-24-fp,13160,https://www.alwaysfashion.com/tr/visconti-van-gogh-potato-eaters-dolma-kalem-kp12-24-fp,Fountain Pen,Visconti
van gogh potato eaters roller kalem kp12-24-rb,11750,https://www.alwaysfashion.com/tr/visconti-van-gogh-potato-eaters-roller-kalem-kp12-24-rb,Rollerball Pen,Visconti
van gogh potato eaters tükenmez kalem kp12-24-bp,10810,https://www.alwaysfashion.com/tr/visconti-van-gogh-potato-eaters-tukenmez-kalem-kp12-24-bp,Ballpoint Pen,Visconti
homo sapiens dark crystal dolma kalem - f uç kp15-20-01-fp,51700,https://www.alwaysfashion.com/tr/visconti-homo-sapiens-dark-crystal-dolma-kalem-f-uc-kp15-20-01-fp,Fountain Pen,Visconti
van gogh flowering plum orchard roller kalem kp12-23-rb,11750,https://www.alwaysfashion.com/tr/visconti-van-gogh-flowering-plum-orchard-roller-kalem-kp12-23-rb,Rollerball Pen,Visconti
homo sapiens bronze roller kalem 46702,22325,https://www.alwaysfashion.com/tr/visconti-homo-sapiens-bronze-roller-kalem-46702,Rollerball Pen,Visconti
mirage mythos apollo roller kalem kp07-08-rb,8460,https://www.alwaysfashion.com/tr/visconti-mirage-mythos-apollo-roller-kalem-kp07-08-rb,Rollerball Pen,Visconti
rembrandt-s black dolma kalem kp10-27-fp,9870,https://www.alwaysfashion.com/tr/visconti-rembrandt-s-black-dolma-kalem-kp10-27-fp,Fountain Pen,Visconti
rembrandt ivory dolma kalem kp10-07-fp,8460,https://www.alwaysfashion.com/tr/visconti-rembrandt-ivory-dolma-kalem-kp10-07-fp,Fountain Pen,Visconti
galileo galilei limited edition 188-100 dolma kalem kp59-01-fp m,272600,https://www.alwaysfashion.com/tr/visconti-galileo-galilei-limited-edition-188-100-dolma-kalem-kp59-01-fp-m,Fountain Pen,Visconti
year of the dragon limited edition 224-100 dolma kalem kp48-01-fp m,272600,https://www.alwaysfashion.com/tr/visconti-year-of-the-dragon-limited-edition-224-100-dolma-kalem-kp48-01-fp-m,Fountain Pen,Visconti
opera gold black dolma kalem kp42-03-fp,18330,https://www.alwaysfashion.com/tr/visconti-opera-gold-black-dolma-kalem-kp42-03-fp,Fountain Pen,Visconti
van gogh flowers plum dolma kalem kp12-23-fp v,13630,https://www.alwaysfashion.com/tr/visconti-van-gogh-flowers-plum-dolma-kalem-kp12-23-fp-v,Fountain Pen,Visconti
rembrandt ivory roller kalem kp10-07-rb,7990,https://www.alwaysfashion.com/tr/visconti-rembrandt-ivory-roller-kalem-kp10-07-rb,Rollerball Pen,Visconti
rembrandt ivory tükenmez kalem kp10-07-bp,7520,https://www.alwaysfashion.com/tr/visconti-rembrandt-ivory-tukenmez-kalem-kp10-07-bp,Ballpoint Pen,Visconti
mirage emerald tükenmez kalem kp09-05-bp,6580,https://www.alwaysfashion.com/tr/visconti-mirage-emerald-tukenmez-kalem-kp09-05-bp,Ballpoint Pen,Visconti
